waypoint1	waypoint2	distance_m	duration_s
Portland, ME	Hampden, Baltimore, MD	818094	28856
Boulder, CO	Providence, RI	3170497	102516
Highland Park, Los Angeles, CA	Little Five Points, Atlanta, GA	3496104	110570
Kansas City, MO	Wicker Park, Chicago, IL	844544	27606
North Loop, Minneapolis, MN	Somerville, MA	2237058	75425
Venice Beach, CA	Wynwood, Miami, FL	4416177	139015
The Uptown, Oakland, CA	Bushwick, Brooklyn, NY	4675260	151549
Portland, ME	Allston-Brighton, Boston, MA	178441	6673
Wicker Park, Chicago, IL	Charleston, SC	1470120	48530
Wicker Park, Chicago, IL	Allston-Brighton, Boston, MA	1581233	52906
Asheville, NC	Bushwick, Brooklyn, NY	1116789	37985
Pearl District, Portland, OR	Hampden, Baltimore, MD	4514580	145811
Capitol Hill, Seattle, WA	Pearl District, Portland, OR	279910	9991
Warehouse District, New Orleans, LALouisville, KY	The Uptown, Oakland, CA	3866314	123289
Kansas City, MO	North Loop, Minneapolis, MN	704136	22645
North Loop, Minneapolis, MN	Bushwick, Brooklyn, NY	1945480	65797
Charleston, SC	Hampden, Baltimore, MD	925788	30856
Pearl District, Portland, OR	Charleston, SC	4661977	150177
North Park, San Diego, CA	Boulder, CO	1750659	56770
East Austin, Austin, TX	The Uptown, Oakland, CA	2820079	88781
Venice Beach, CA	Bushwick, Brooklyn, NY	4506660	146421
Portland, ME	Arts District, Los Angeles, CA	4960123	159624
Hampden, Baltimore, MD	Arts District, Los Angeles, CA	4254255	137004
North Loop, Minneapolis, MN	Los Feliz, Los Angeles, CA	3105791	98190
Warehouse District, New Orleans, LALouisville, KY	North Loop, Minneapolis, MN	1292700	43211
Wicker Park, Chicago, IL	Somerville, MA	1583796	53424
Venice Beach, CA	Allston-Brighton, Boston, MA	4823444	155692
LoHi, Denver, CO	Savannah, GA	2654223	84033
East Austin, Austin, TX	Asheville, NC	1853211	60232
Little Five Points, Atlanta, GA	Boulder, CO	2289577	72809
Kansas City, MO	H Street Corridor, Washington, DC	1709033	57776
Wicker Park, Chicago, IL	Los Feliz, Los Angeles, CA	3248153	103426
Capitol Hill, Seattle, WA	Charleston, SC	4784445	153965
Williamsburg, Brooklyn, NY	The Mission, San Francisco, CA	4680275	150631
Allston-Brighton, Boston, MA	Arts District, Los Angeles, CA	4795710	154140
East Nashville, Nashville, TN	The Mission, San Francisco, CA	3711112	117647
Venice Beach, CA	Westheimer Road, Houston, TX	2505274	78818
Kansas City, MO	East Austin, Austin, TX	1185082	37474
Little Five Points, Atlanta, GA	Los Feliz, Los Angeles, CA	3508417	111051
Venice Beach, CA	Somerville, MA	4826557	156176
Boulder, CO	Pearl District, Portland, OR	1965775	65183
Providence, RI	Alberta, Portland, OR	4943701	160220
Warehouse District, New Orleans, LALouisville, KY	LoHi, Denver, CO	1938168	61328
Pearl District, Portland, OR	Portland, ME	5129466	165915
Little Five Points, Atlanta, GA	Somerville, MA	1735830	59664
North Park, San Diego, CA	Arts District, Los Angeles, CA	189790	7030
Boulder, CO	North Loop, Minneapolis, MN	1495904	46993
Capitol Hill, Seattle, WA	East Austin, Austin, TX	3426471	115828
LoHi, Denver, CO	Arts District, Los Angeles, CA	1636444	52710
Northern Liberties, Philadelphia, PA	Alberta, Portland, OR	4609197	148905
The Uptown, Oakland, CA	Asheville, NC	4162985	132310
Portland, ME	Wicker Park, Chicago, IL	1745647	58390
Portland, ME	Charleston, SC	1721912	58155
Wicker Park, Chicago, IL	Northern Liberties, Philadelphia, PA	1228668	41271
Warehouse District, New Orleans, LALouisville, KY	Bushwick, Brooklyn, NY	1131726	38622
Silver Lake, Los Angeles, CA	Charleston, SC	3979329	126904
